feature_ID	mz	rtime
137.0601647_262.8827989	137.0601647	262.8827989
137.0728707_102.9813924	137.0728707	102.9813924
137.0795329_104.1020088	137.0795329	104.1020088
137.0965757_268.1858615	137.0965757	268.1858615
137.0966387_29.31399543	137.0966387	29.31399543
137.1063554_270.6239761	137.1063554	270.6239761
137.1329271_231.6063604	137.1329271	231.6063604
137.964662_191.3906536	137.964662	191.3906536
137.9879739_154.5563977	137.9879739	154.5563977
137.9983875_116.0005613	137.9983875	116.0005613
138.0133829_61.08458178	138.0133829	61.08458178
138.0178482_30.03249632	138.0178482	30.03249632
138.037765_29.24218979	138.037765	29.24218979
138.0389995_155.2080603	138.0389995	155.2080603
138.0433362_60.00354226	138.0433362	60.00354226
138.0492025_93.60763424	138.0492025	93.60763424
138.0554358_137.9074057	138.0554358	137.9074057
138.0765559_104.7343477	138.0765559	104.7343477
138.0918208_69.08046365	138.0918208	69.08046365
138.1363246_267.0537028	138.1363246	267.0537028
138.4804315_206.5443769	138.4804315	206.5443769
138.4956739_157.5304438	138.4956739	157.5304438
138.5818313_168.3431133	138.5818313	168.3431133
138.9069672_71.21588366	138.9069672	71.21588366
